trm_id,mer_id,hea_id,request_status,request_type
7282,19645,19474836,EXPIRED,DOWNLOAD
7283,19784,25880133,EXPIRED,DOWNLOAD
7284,19428,5851723,EXPIRED,DOWNLOAD
7285,19750,8004396,EXPIRED,DOWNLOAD
7286,19403,15907450,EXPIRED,DOWNLOAD
7287,19467,22257824,EXPIRED,DOWNLOAD
7288,19847,10168746,EXPIRED,DOWNLOAD
7289,19528,14161363,EXPIRED,DOWNLOAD
7291,19804,11231822,EXPIRED,DOWNLOAD
7293,19768,4552719,EXPIRED,DOWNLOAD
7295,19751,22081114,EXPIRED,DOWNLOAD
7297,19566,1233678,EXPIRED,DOWNLOAD
7298,19449,10392991,EXPIRED,DOWNLOAD
7299,19728,10282498,EXPIRED,DOWNLOAD
7300,19668,16444607,EXPIRED,DOWNLOAD
7302,19625,2505990,EXPIRED,DOWNLOAD
7303,19769,9629801,EXPIRED,DOWNLOAD
7305,19485,20110456,EXPIRED,DOWNLOAD
7306,19752,21286847,EXPIRED,DOWNLOAD
7307,19864,8421123,EXPIRED,DOWNLOAD
7309,19884,4641507,EXPIRED,DOWNLOAD
7310,19567,4135112,EXPIRED,DOWNLOAD
7311,19904,16557337,EXPIRED,DOWNLOAD
7312,19848,1444389,EXPIRED,DOWNLOAD
7314,19486,4616139,EXPIRED,DOWNLOAD
7315,19729,3618610,EXPIRED,DOWNLOAD
7317,19605,1316124,EXPIRED,DOWNLOAD
7321,19585,16133638,EXPIRED,DOWNLOAD
7323,19753,11083910,EXPIRED,DOWNLOAD
7324,19505,21377057,EXPIRED,DOWNLOAD
7326,19468,16058902,EXPIRED,DOWNLOAD
7328,19705,16359310,EXPIRED,DOWNLOAD
7330,19805,25985453,EXPIRED,DOWNLOAD
7331,19404,4734814,EXPIRED,DOWNLOAD
7333,19754,23699832,EXPIRED,DOWNLOAD
7335,19770,7067475,EXPIRED,DOWNLOAD
7337,19451,7519681,EXPIRED,DOWNLOAD
7338,19548,11937309,EXPIRED,DOWNLOAD
7340,19586,9657101,EXPIRED,DOWNLOAD
7343,19626,18397946,EXPIRED,DOWNLOAD
7344,19771,9703619,EXPIRED,DOWNLOAD
7346,19487,12736275,EXPIRED,DOWNLOAD
7347,19961,17882059,EXPIRED,DOWNLOAD
7350,19981,10094816,EXPIRED,DOWNLOAD
7351,20001,11321233,EXPIRED,DOWNLOAD
7352,20061,9844044,EXPIRED,DOWNLOAD
7355,19942,9694639,EXPIRED,DOWNLOAD
7358,20082,24752986,EXPIRED,DOWNLOAD
7359,20022,10559411,EXPIRED,DOWNLOAD
7360,20062,5625565,EXPIRED,DOWNLOAD
7362,20063,18891603,EXPIRED,DOWNLOAD
7364,19943,18179826,EXPIRED,DOWNLOAD
7366,20141,17807322,EXPIRED,DOWNLOAD
7370,20201,22063529,EXPIRED,DOWNLOAD
7372,20221,4170168,EXPIRED,DOWNLOAD
7375,20281,25387883,EXPIRED,DOWNLOAD
7377,19964,11282943,EXPIRED,DOWNLOAD
7378,20202,4753724,EXPIRED,DOWNLOAD
7380,19982,4240899,EXPIRED,DOWNLOAD
7381,20083,24991840,EXPIRED,DOWNLOAD
7382,20102,17333298,EXPIRED,DOWNLOAD
7384,20301,10141468,EXPIRED,DOWNLOAD
7386,20162,20138284,EXPIRED,DOWNLOAD
7387,19945,11839984,EXPIRED,DOWNLOAD
7388,20042,2179885,EXPIRED,DOWNLOAD
7389,20065,19987929,EXPIRED,DOWNLOAD
7393,20084,13799048,EXPIRED,DOWNLOAD
7394,20024,25255758,EXPIRED,DOWNLOAD
7395,20242,11937393,EXPIRED,DOWNLOAD
7397,20066,3803856,EXPIRED,DOWNLOAD
7398,20182,10108036,EXPIRED,DOWNLOAD
7399,20341,1214812,EXPIRED,DOWNLOAD
7402,20401,14907445,EXPIRED,DOWNLOAD
7403,20441,11344310,EXPIRED,DOWNLOAD
7405,20361,11990212,EXPIRED,DOWNLOAD
7406,20461,14723680,EXPIRED,DOWNLOAD
7407,20004,20451601,EXPIRED,DOWNLOAD
7408,20521,11236970,EXPIRED,DOWNLOAD
7411,20581,24298957,EXPIRED,DOWNLOAD
7416,20641,23743734,EXPIRED,DOWNLOAD
7418,20661,22718934,EXPIRED,DOWNLOAD
7420,19966,25870210,EXPIRED,DOWNLOAD
7424,20482,4665785,EXPIRED,DOWNLOAD
7425,20302,9924641,EXPIRED,DOWNLOAD
7427,20681,7233066,EXPIRED,DOWNLOAD
7428,20382,15498431,EXPIRED,DOWNLOAD
7429,20203,18511398,EXPIRED,DOWNLOAD
7430,20005,25034697,EXPIRED,DOWNLOAD
7431,20025,3004388,EXPIRED,DOWNLOAD
7569,20745,3018170,EXPIRED,DOWNLOAD
7570,20765,12644812,EXPIRED,DOWNLOAD
7571,20727,1551964,EXPIRED,DOWNLOAD
7573,20805,457175,EXPIRED,DOWNLOAD
7575,20766,24821674,EXPIRED,DOWNLOAD
7578,20806,15370644,EXPIRED,DOWNLOAD
7579,20863,4559564,EXPIRED,DOWNLOAD
7581,20767,2388684,EXPIRED,DOWNLOAD
7582,20747,2367346,EXPIRED,DOWNLOAD
7584,20807,4717775,EXPIRED,DOWNLOAD
7586,20824,15499294,EXPIRED,DOWNLOAD
7589,20864,6532726,EXPIRED,DOWNLOAD
7591,20769,4089198,EXPIRED,DOWNLOAD
7592,20749,11393250,EXPIRED,DOWNLOAD
7594,20881,16090866,EXPIRED,DOWNLOAD
7595,20865,15318457,EXPIRED,DOWNLOAD
7596,20750,5963584,EXPIRED,DOWNLOAD
7599,20732,8345919,EXPIRED,DOWNLOAD
7601,20825,5556534,EXPIRED,DOWNLOAD
7604,20733,19113888,EXPIRED,DOWNLOAD
7605,20751,5086499,EXPIRED,DOWNLOAD
7606,20772,19506182,EXPIRED,DOWNLOAD
7607,20901,2795135,EXPIRED,DOWNLOAD
7609,20773,10226252,EXPIRED,DOWNLOAD
7612,20810,5540894,EXPIRED,DOWNLOAD
7613,20783,7912645,EXPIRED,DOWNLOAD
7617,20941,15152974,EXPIRED,DOWNLOAD
7618,20961,10458762,EXPIRED,DOWNLOAD
7619,20784,4468021,EXPIRED,DOWNLOAD
7622,20845,14234076,EXPIRED,DOWNLOAD
7625,20776,10512774,EXPIRED,DOWNLOAD
7628,20943,13030677,EXPIRED,DOWNLOAD
7633,21001,4673149,EXPIRED,DOWNLOAD
7634,20752,7052054,EXPIRED,DOWNLOAD
7635,20902,9988149,EXPIRED,DOWNLOAD
7636,20870,1281000,EXPIRED,DOWNLOAD
7637,20884,16238360,EXPIRED,DOWNLOAD
7638,20785,23274664,EXPIRED,DOWNLOAD
7639,20735,14044619,EXPIRED,DOWNLOAD
7640,20945,13139843,EXPIRED,DOWNLOAD
7641,20812,22725928,EXPIRED,DOWNLOAD
7642,20778,6505670,EXPIRED,DOWNLOAD
7643,20846,25972319,EXPIRED,DOWNLOAD
7646,20847,25584905,EXPIRED,DOWNLOAD
7648,20779,21981023,EXPIRED,DOWNLOAD
7649,20885,5790305,EXPIRED,DOWNLOAD
7651,20736,15512959,EXPIRED,DOWNLOAD
7655,21061,7395877,EXPIRED,DOWNLOAD
7657,20738,19086223,EXPIRED,DOWNLOAD
7659,20848,17229855,EXPIRED,DOWNLOAD
7660,21002,19967605,EXPIRED,DOWNLOAD
7661,20947,1413736,EXPIRED,DOWNLOAD
7662,20754,2379550,EXPIRED,DOWNLOAD
7664,20780,2937311,EXPIRED,DOWNLOAD
7666,20886,3012696,EXPIRED,DOWNLOAD
7669,21023,7909395,EXPIRED,DOWNLOAD
7672,20826,18005250,EXPIRED,DOWNLOAD
7676,21101,17883073,EXPIRED,DOWNLOAD
7677,21024,16726050,EXPIRED,DOWNLOAD
7678,20739,24082677,EXPIRED,DOWNLOAD
7680,20786,3512495,EXPIRED,DOWNLOAD
7681,20922,755159,EXPIRED,DOWNLOAD
7682,20887,7817239,EXPIRED,DOWNLOAD
7683,20827,7985210,EXPIRED,DOWNLOAD
7687,20888,1234440,EXPIRED,DOWNLOAD
7690,20814,22095087,EXPIRED,DOWNLOAD
7692,21025,9589458,EXPIRED,DOWNLOAD
7694,21063,18867763,EXPIRED,DOWNLOAD
