trm_id,mer_id,hea_id,request_status,request_type
6916,18502,11471059,COMPLETED,DOWNLOAD
6914,18522,22098374,COMPLETED,DOWNLOAD
6913,18124,14236159,COMPLETED,DOWNLOAD
6911,18208,24713759,COMPLETED,DOWNLOAD
6910,18065,13030880,COMPLETED,DOWNLOAD
6909,18187,8317416,COMPLETED,DOWNLOAD
6907,18015,20022767,COMPLETED,DOWNLOAD
6906,18165,25056820,COMPLETED,DOWNLOAD
6905,17829,24020673,COMPLETED,DOWNLOAD
6904,18225,3940505,COMPLETED,DOWNLOAD
6903,18207,17610830,COMPLETED,DOWNLOAD
6902,18423,9845706,COMPLETED,DOWNLOAD
6899,18014,15695405,COMPLETED,DOWNLOAD
6898,17949,2117107,COMPLETED,DOWNLOAD
6897,18064,25819739,COMPLETED,DOWNLOAD
6894,18561,18049651,COMPLETED,DOWNLOAD
6892,18186,12097217,COMPLETED,DOWNLOAD
6891,18484,17464406,COMPLETED,DOWNLOAD
6890,17971,21333758,COMPLETED,DOWNLOAD
6889,17926,14679097,COMPLETED,DOWNLOAD
6887,18303,15551869,COMPLETED,DOWNLOAD
6886,18146,25887618,COMPLETED,DOWNLOAD
6885,18382,737983,COMPLETED,DOWNLOAD
6884,18224,2452866,COMPLETED,DOWNLOAD
6883,17828,5444683,COMPLETED,DOWNLOAD
6882,18031,4561332,COMPLETED,DOWNLOAD
6881,18206,13153196,COMPLETED,DOWNLOAD
6880,18012,12359668,COMPLETED,DOWNLOAD
6879,18483,3657657,COMPLETED,DOWNLOAD
6878,18185,5539782,COMPLETED,DOWNLOAD
6877,18145,10449110,COMPLETED,DOWNLOAD
6876,17991,9950542,COMPLETED,DOWNLOAD
6875,18442,18841616,COMPLETED,DOWNLOAD
6874,18046,10274826,COMPLETED,DOWNLOAD
6872,17970,10865151,COMPLETED,DOWNLOAD
6871,18123,8243571,COMPLETED,DOWNLOAD
6870,18030,21948425,COMPLETED,DOWNLOAD
6869,17864,25851881,COMPLETED,DOWNLOAD
6868,17948,25503155,COMPLETED,DOWNLOAD
6866,18011,16882139,COMPLETED,DOWNLOAD
6863,18104,14085685,COMPLETED,DOWNLOAD
6862,18045,17064649,COMPLETED,DOWNLOAD
6861,18144,8428093,COMPLETED,DOWNLOAD
6860,17925,11804912,COMPLETED,DOWNLOAD
6859,18223,5344056,COMPLETED,DOWNLOAD
6857,18242,19151211,COMPLETED,DOWNLOAD
6855,18482,1545297,COMPLETED,DOWNLOAD
6854,18342,18523755,COMPLETED,DOWNLOAD
6852,17989,22572357,COMPLETED,DOWNLOAD
6851,17826,20285419,COMPLETED,DOWNLOAD
6850,17947,9632333,COMPLETED,DOWNLOAD
6849,18184,17548215,COMPLETED,DOWNLOAD
6848,18164,19892145,COMPLETED,DOWNLOAD
6847,18082,8063147,COMPLETED,DOWNLOAD
6846,18009,20023799,COMPLETED,DOWNLOAD
6845,18029,15579565,COMPLETED,DOWNLOAD
6844,18262,135645,COMPLETED,DOWNLOAD
6843,18541,10073394,COMPLETED,DOWNLOAD
6840,18028,19684101,COMPLETED,DOWNLOAD
6835,18063,21349614,COMPLETED,DOWNLOAD
6832,18521,18066264,COMPLETED,DOWNLOAD
6829,18027,2787016,COMPLETED,DOWNLOAD
6826,17946,10836300,COMPLETED,DOWNLOAD
6808,17986,23843065,COMPLETED,DOWNLOAD
6807,17824,12659122,COMPLETED,DOWNLOAD
6806,18381,14758483,COMPLETED,DOWNLOAD
6804,18143,11934712,COMPLETED,DOWNLOAD
6803,18025,1743743,COMPLETED,DOWNLOAD
6802,17965,7181003,COMPLETED,DOWNLOAD
6799,18005,21015164,COMPLETED,DOWNLOAD
6795,18044,880077,COMPLETED,DOWNLOAD
6793,17863,9790956,COMPLETED,DOWNLOAD
6783,17944,21236903,COMPLETED,DOWNLOAD
6777,17922,19893517,COMPLETED,DOWNLOAD
